url_id,parent_doc_id,record_type,business_function,title,indexable,rag_index_mode,quality_status,quality_reasons,content_chars,chunk_count,chunk_coverage_ratio,faq_count,faq_chunk_count,table_count,action_count,attachment_count,video_count,supplementary_link_count,pagination_detected,pagination_is_complete,pagination_page_count,processing_policy,needs_review
MT-004,MT-004,page,착오송금 반환 신청,착오송금 반환지원 FAQ,True,full,pass,,2196,12,1.0,12,12,0,0,0,0,0,True,True,2,,False
MT-005,MT-005,page,착오송금 반환 신청,착오송금 반환지원 주요 FAQ,True,full,pass,,1734,10,1.0,10,10,0,0,0,0,0,False,True,1,,False
MT-006,MT-006,page,착오송금 반환 신청,착오송금 수취인 유의사항,True,full,pass,,688,1,1.0,0,0,0,1,0,0,0,False,True,1,,False
MT-007,MT-007,page,착오송금 반환 신청,착오송금 수취인 구비서류 안내,True,full,pass,,518,1,1.0,0,0,1,4,4,0,0,False,True,1,,False
MT-008,MT-008,page,착오송금 반환 신청,착오송금인 구비서류 안내,True,full,pass,,3656,12,1.0,0,0,5,20,20,0,0,False,True,1,,False
MT-009,MT-009,page,착오송금 반환 신청,반환지원절차,True,filtered,pass,,506,1,1.0,0,0,0,0,0,0,1,False,True,1,,False
MT-010,MT-010,page,착오송금 반환 신청,관련 법령 및 규정,True,full,pass,,290,4,1.0,0,0,0,4,0,0,0,False,True,1,,False
MT-011,MT-011,page,착오송금 반환 신청,상황선택,True,public_only,pass,,125,1,1.0,0,0,0,3,0,0,0,False,True,1,,False
MT-012,MT-012,page,착오송금 반환 신청,방문접수안내,True,full,pass,,674,2,1.0,0,0,0,4,2,0,0,False,True,1,,False
MT-013,MT-013,page,착오송금 반환 신청,착오송금인 유의사항,True,full,pass,,2312,7,1.0,0,0,2,0,0,0,0,False,True,1,,False
MT-014,MT-014,link_only,착오송금 반환 신청,착오송금 반환지원 신청대상 자가진단,False,none,pass,,0,0,1.0,0,0,0,1,0,0,0,False,True,1,,False
MT-015,MT-015,page,착오송금 반환 신청,착오송금 반환지원 신청대상,True,full,pass,,417,4,1.0,0,0,0,0,0,0,0,False,True,1,,False
DA-001,DA-001,page,채무조정 안내,채무조정제도,True,full,pass,,1581,4,1.0,0,0,1,1,0,0,0,False,True,1,,False
DA-002,DA-002,page,채무조정 안내,채무정보 조회 ＆ 상담신청,True,public_only,pass,,299,3,1.0,0,0,0,1,0,0,0,False,True,1,,False
DA-003,DA-003,page,채무조정 안내,채무조정,True,full,pass,,1672,9,1.0,0,0,2,0,0,0,0,False,True,1,,False
DA-004,DA-004,page,채무조정 안내,신용회복 지원,True,full,pass,,2298,12,1.0,0,0,1,0,0,0,0,False,True,1,,False
DA-005,DA-005,page,채무조정 안내,파산면책,True,full,pass,,2988,13,1.0,0,0,0,0,0,0,0,False,True,1,,False
DA-006,DA-006,page,채무조정 안내,개인회생,True,full,pass,,1848,13,1.0,0,0,3,0,0,0,0,False,True,1,,False
DA-007,DA-007,page,채무조정 안내,부채증명원/금융거래정보신청,True,public_only,pass,,1019,6,1.0,0,0,1,4,3,0,0,False,True,1,,False
DA-008,DA-008,page,채무조정 안내,채무정보조회 FAQ,True,full,pass,,1001,7,1.0,7,7,0,0,0,0,0,False,True,1,,False
HP-001,HP-001,page,은닉재산 신고,금융부실관련자 은닉재산 신고 신고센터,True,full,pass,,1759,10,1.0,0,0,2,2,0,0,0,False,True,1,,False
HP-002,HP-002,page,은닉재산 신고,은닉재산 신고 FAQ,True,full,pass,,2619,12,1.0,12,12,0,0,0,0,0,True,True,2,,False
HP-003,HP-003,page,은닉재산 신고,신고센터 소개,True,separate_domain,pass,,329,2,1.0,0,0,0,2,2,0,0,False,True,1,,False
HP-004,HP-004,link_only,은닉재산 신고,부실책임조사 진행현황 조회 (개인정보 수집이용 동의),False,none,pass,,0,0,1.0,0,0,0,1,0,0,0,False,True,1,,False
MT-010_rule_layer01,MT-010,modal_document,착오송금 반환 신청,착오송금 반환지원 등에 관한 규정,True,full,pass,,8701,42,1.0,0,0,0,0,0,0,0,False,True,1,,False
MT-010_operation_layer01,MT-010,modal_document,착오송금 반환 신청,착오송금 반환지원 시행세칙,True,full,pass,,2867,18,1.0,0,0,0,0,0,0,0,False,True,1,,False
DP-003-ATT-57b9a22e,DP-003,attachment,예금자보호제도,(붙임) 부보금융회사 변동 현황(26년 1분기 기준)_홈페이지 공시,True,attachment,pass,,16018,17,1.0,0,0,0,0,0,0,0,False,True,1,download_and_index,False
DP-003-ATT-3b79157f,DP-003,attachment,예금자보호제도,(붙임) 부보금융회사 목록(26년 1분기 기준)_홈페이지 공시,True,attachment,pass,,40543,37,1.0,0,0,0,0,0,0,0,False,True,1,download_and_index,False
BI-001-ATT-0216d596,BI-001,attachment,예금보험금 안내,예금보험금 등 지급청구 및 동의서 (HWP),False,none,pass,,841,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-6cc3eacc,BI-001,attachment,예금보험금 안내,예금보험금 등 지급청구 및 동의서 (PDF),False,none,pass,,651,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-598adbcc,BI-001,attachment,예금보험금 안내,위임장 (HWP),False,none,pass,,561,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-d65abf6d,BI-001,attachment,예금보험금 안내,위임장 (PDF),False,none,pass,,418,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-bf847d84,BI-001,attachment,예금보험금 안내,친권자합의서 (HWP),False,none,review,설명 텍스트는 충분하지만 문서 역할이 불명확하여 사람 검토 필요,527,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,True
BI-001-ATT-66c5e974,BI-001,attachment,예금보험금 안내,친권자합의서 (PDF),False,none,review,짧거나 설명 가치가 낮은 파일,389,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,True
BI-001-ATT-8c3e3d1e,BI-001,attachment,예금보험금 안내,지분신고서 및 수령권한 위임 동의서 (HWP),False,none,pass,,1303,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-0ff6e81f,BI-001,attachment,예금보험금 안내,지분신고서 및 수령권한 위임 동의서 (PDF),False,none,pass,,1008,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
BI-001-ATT-c1538f12,BI-001,attachment,예금보험금 안내,손해담보 약정서 (HWP),False,none,review,설명 텍스트는 충분하지만 문서 역할이 불명확하여 사람 검토 필요,445,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,True
BI-001-ATT-c3577595,BI-001,attachment,예금보험금 안내,손해담보 약정서 (PDF),False,none,review,짧거나 설명 가치가 낮은 파일,337,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,True
MT-007-ATT-1ac08b57,MT-007,attachment,착오송금 반환 신청,HWP 착오송금액반환요구에대한 이의제기서양식,False,none,pass,,354,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-007-ATT-5a87fb97,MT-007,attachment,착오송금 반환 신청,PDF 착오송금액반환요구에대한 이의제기서양식,False,none,pass,,269,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-007-ATT-5154f2b5,MT-007,attachment,착오송금 반환 신청,HWP 착오송금액반환관련 이체수수료환급신청서양식,False,none,pass,,217,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-007-ATT-7103c0f0,MT-007,attachment,착오송금 반환 신청,PDF 착오송금액반환관련 이체수수료환급신청서양식,False,none,pass,,167,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-1d6895ea,MT-008,attachment,착오송금 반환 신청,HWP 신청서양식,False,none,pass,,2234,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-3868cbd6,MT-008,attachment,착오송금 반환 신청,PDF 신청서양식,False,none,pass,,2111,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-bd67a665,MT-008,attachment,착오송금 반환 신청,HWP 금융거래정보 제공 요구(동의)서,False,none,pass,,737,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-7c956629,MT-008,attachment,착오송금 반환 신청,PDF 금융거래정보 제공 요구(동의)서,False,none,pass,,718,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-7adcf5c2,MT-008,attachment,착오송금 반환 신청,본인 신청서 샘플 (FILE),False,none,pass,,2343,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-a05aa6e5,MT-008,attachment,착오송금 반환 신청,HWP 채권양도통지 위임장 양식,False,none,pass,,1016,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-48bfcec7,MT-008,attachment,착오송금 반환 신청,PDF 채권양도통지 위임장 양식,False,none,pass,,798,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-16e3996e,MT-008,attachment,착오송금 반환 신청,대리인 신청서 샘플 (FILE),False,none,pass,,2429,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-e145d610,MT-008,attachment,착오송금 반환 신청,HWP 착오송금반환지원 신청등위임장양식 양식,False,none,pass,,1037,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-12610835,MT-008,attachment,착오송금 반환 신청,PDF 착오송금반환지원 신청등위임장양식 양식,False,none,pass,,766,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-34802419,MT-008,attachment,착오송금 반환 신청,HWP 친권합의서양식,False,none,pass,,452,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-693c7d4b,MT-008,attachment,착오송금 반환 신청,PDF 친권합의서양식,False,none,pass,,335,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-4c454360,MT-008,attachment,착오송금 반환 신청,HWP 취소신청서양식,False,none,pass,,252,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-12e633a3,MT-008,attachment,착오송금 반환 신청,PDF 취소신청서양식,False,none,pass,,203,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-f145a2a4,MT-008,attachment,착오송금 반환 신청,HWP 매입계약해제신청서양식,False,none,pass,,272,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-04b2746d,MT-008,attachment,착오송금 반환 신청,PDF 매입계약해제신청서양식,False,none,pass,,229,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-c5c3859c,MT-008,attachment,착오송금 반환 신청,HWP 수령계좌변경신청서양식,False,none,pass,,211,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-8523bf92,MT-008,attachment,착오송금 반환 신청,PDF 수령계좌변경신청서양식,False,none,pass,,155,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-3050d7a6,MT-008,attachment,착오송금 반환 신청,HWP 위임해지통지서양식,False,none,pass,,439,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-008-ATT-838341b1,MT-008,attachment,착오송금 반환 신청,PDF 위임해지통지서양식,False,none,pass,,333,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-012-ATT-89506d13,MT-012,attachment,착오송금 반환 신청,HWP 신청서,False,none,pass,,2234,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
MT-012-ATT-5f05a186,MT-012,attachment,착오송금 반환 신청,PDF 신청서,False,none,pass,,2111,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
DA-007-ATT-975ba507,DA-007,attachment,채무조정 안내,부채증명원 발급신청서 (FILE),False,none,pass,,292,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
DA-007-ATT-bee3f761,DA-007,attachment,채무조정 안내,금융거래정보 발급신청서 (FILE),False,none,pass,,525,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
DA-007-ATT-9b28385c,DA-007,attachment,채무조정 안내,위임장 (FILE),False,none,pass,,189,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
HP-003-ATT-0d0f2cba,HP-003,attachment,은닉재산 신고,신고서 다운로드(한글양식) (HWP),False,none,pass,,551,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
HP-003-ATT-9001ad1d,HP-003,attachment,은닉재산 신고,신고서 다운로드(워드양식) (FILE),False,none,pass,,0,0,1.0,0,0,0,0,0,0,0,False,True,1,download_no_index,False
